player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"OC",fenA10lfmW,2022-05-12T09:27:29.935Z,2022-05-12T10:32:52.895Z,10000,0,0,-10000
"Brad",QeS_JBwahW,2022-05-12T08:33:41.942Z,,3030,6765,20000,23735
"Brad",QeS_JBwahW,2022-05-12T08:25:05.746Z,2022-05-12T08:33:03.796Z,2000,0,0,-2000
"John3",V-h8k2dg1K,2022-05-12T08:01:39.960Z,2022-05-12T08:54:46.053Z,11607,0,0,-11607
"matt",RscAoE0tm2,2022-05-12T07:29:13.569Z,2022-05-12T08:20:21.181Z,3000,0,0,-3000
"jebsmash",yzwUmh2s9b,2022-05-12T07:17:03.810Z,2022-05-12T09:20:13.783Z,5000,5193,0,193
"OC",fenA10lfmW,2022-05-12T06:57:29.622Z,2022-05-12T09:23:49.994Z,10000,6,0,-9994
"John2",JrfLtIVne_,2022-05-12T06:38:33.560Z,2022-05-12T08:00:41.711Z,15000,11607,0,-3393
"john1",C8H41r6jOA,2022-05-12T06:35:11.187Z,2022-05-12T06:37:27.797Z,15000,15000,0,0
"ziho",aKHmZypK1n,2022-05-12T06:14:25.726Z,2022-05-12T07:58:41.920Z,20000,28652,0,8652
"Alvin",onpa4SJ2rt,2022-05-12T06:00:59.732Z,2022-05-12T06:43:13.535Z,14700,21107,0,6407
"5+377a^n",RUjOKEAQ4R,2022-05-12T05:46:39.325Z,2022-05-12T07:26:29.730Z,10000,0,0,-10000
"5+377a^n",RUjOKEAQ4R,2022-05-12T05:40:16.053Z,2022-05-12T05:43:34.811Z,10000,0,0,-10000
"yahurd",ZiyHQ22YAr,2022-05-12T05:26:16.541Z,2022-05-12T07:19:26.719Z,5000,0,0,-5000
"5+377a^n",RUjOKEAQ4R,2022-05-12T05:24:48.832Z,2022-05-12T05:37:28.798Z,10000,0,0,-10000
"matt",RscAoE0tm2,2022-05-12T04:31:59.658Z,2022-05-12T05:12:13.956Z,5000,0,0,-5000
"Brad",QeS_JBwahW,2022-05-12T04:18:29.009Z,2022-05-12T08:23:09.125Z,5000,0,0,-5000
"Brad",QeS_JBwahW,2022-05-12T03:49:21.323Z,2022-05-12T04:15:14.195Z,10000,0,0,-10000
"Brad",QeS_JBwahW,2022-05-12T03:45:08.695Z,2022-05-12T03:47:24.708Z,2500,0,0,-2500
"Jebsmash",yzwUmh2s9b,2022-05-12T03:40:44.423Z,2022-05-12T05:50:59.775Z,5000,0,0,-5000
"brad",QeS_JBwahW,2022-05-12T03:30:49.478Z,2022-05-12T03:43:11.303Z,5000,0,0,-5000
"ryan",hNZ037e0Rv,2022-05-12T03:19:45.608Z,2022-05-12T06:39:23.195Z,5000,24255,0,19255
"Shove",I1AF771JBv,2022-05-12T03:01:02.120Z,2022-05-12T04:40:27.667Z,5000,9017,0,4017
"John1",R2n9VX0gIb,2022-05-12T02:19:43.102Z,2022-05-12T04:01:52.148Z,15000,21079,0,6079
"yahurd",ZiyHQ22YAr,2022-05-12T02:18:01.411Z,2022-05-12T03:47:24.704Z,5000,0,0,-5000
"BBB",KEQW6uYuih,2022-05-12T01:43:05.222Z,2022-05-12T03:10:35.141Z,7500,8153,0,653
"Alvin",onpa4SJ2rt,2022-05-12T01:22:39.430Z,2022-05-12T05:30:51.102Z,5000,14777,0,9777
"Jebsmash",yzwUmh2s9b,2022-05-12T01:04:01.174Z,2022-05-12T01:40:47.190Z,5000,11039,0,6039
"Alvin",onpa4SJ2rt,2022-05-12T00:49:50.147Z,2022-05-12T01:20:01.794Z,5000,0,0,-5000
"Jebsmash",yzwUmh2s9b,2022-05-12T00:35:14.478Z,2022-05-12T01:01:59.222Z,5000,0,0,-5000
"Jack",xDol4Gk2zP,2022-05-12T00:15:59.214Z,2022-05-12T03:11:57.115Z,20000,0,0,-20000
"ryan",hNZ037e0Rv,2022-05-12T00:15:59.195Z,2022-05-12T03:18:13.602Z,7500,0,0,-7500
"Jack Sparrow",5XMJP4PO0M,2022-05-12T00:15:59.212Z,2022-05-12T02:16:41.875Z,5000,20508,0,15508
"ziho",ds0skNOq48,2022-05-12T00:15:59.199Z,2022-05-12T02:12:41.639Z,10000,0,0,-10000
"brad",QeS_JBwahW,2022-05-12T00:15:59.197Z,2022-05-12T03:28:26.225Z,5000,0,0,-5000
"Jebsmash",yzwUmh2s9b,2022-05-12T00:15:59.204Z,2022-05-12T00:34:15.013Z,5000,0,0,-5000
"amo",5LsKCr2B0C,2022-05-12T00:15:59.201Z,2022-05-12T00:48:24.890Z,3800,0,0,-3800
"bhu",H4tluL-kX1,2022-05-12T00:15:59.207Z,2022-05-12T02:29:17.132Z,5000,4728,0,-272
"Nick",y9uUFnPwKD,2022-05-12T00:15:59.209Z,2022-05-12T09:20:13.781Z,12986,86737,0,73751
"amo",5LsKCr2B0C,,2022-05-12T00:07:34.649Z,5000,5000,0,0
