entry,at,order
"""Gyth @ TIRmCvWAZj"" shows a 6♠, 8♥.",2022-06-10T18:18:16.608Z,165488509660800
"""Mt2500 @ L46HsMGRoN"" shows a 3♠, 5♣.",2022-06-10T18:18:13.722Z,165488509372200
"""Shawn @ bPvtSbzkAj"" shows a 9♠, 3♣.",2022-06-10T18:18:11.543Z,165488509154300
"""white&nerdy @ pTLo0z6T3g"" shows a 3♦, 4♦.",2022-06-10T18:18:10.147Z,165488509014700
"""Jl @ R4jGGpHuT7"" shows a K♣, Q♥.",2022-06-10T18:18:10.117Z,165488509011700
"-- ending hand #83 --",2022-06-10T18:18:09.186Z,165488508918602
"""Hasbullah @ 02inrjNc6d"" collected 18.78 from pot with Two Pair, A's & 4's on the second run  (combination: A♥, A♦, 4♠, 4♥, J♥)",2022-06-10T18:18:09.186Z,165488508918601
"""Hasbullah @ 02inrjNc6d"" collected 18.79 from pot with Two Pair, A's & 10's (combination: A♥, A♦, 10♦, 10♣, K♠)",2022-06-10T18:18:09.186Z,165488508918600
"River (second run): 8♣, 2♦, 4♠, J♥ [4♥]",2022-06-10T18:18:05.088Z,165488508508800
"Turn (second run): 8♣, 2♦, 4♠ [J♥]",2022-06-10T18:18:01.074Z,165488508107400
"Flop (second run):  [8♣, 2♦, 4♠]",2022-06-10T18:17:56.970Z,165488507697000
"River: K♠, 10♦, 7♠, 5♥ [10♣]",2022-06-10T18:17:52.869Z,165488507286900
"Turn: K♠, 10♦, 7♠ [5♥]",2022-06-10T18:17:48.862Z,165488506886200
"Flop:  [K♠, 10♦, 7♠]",2022-06-10T18:17:44.753Z,165488506475300
"""bhu @ H4tluL-kX1"" shows a K♦, A♠.",2022-06-10T18:17:40.662Z,165488506066201
"""Hasbullah @ 02inrjNc6d"" shows a A♥, A♦.",2022-06-10T18:17:40.662Z,165488506066200
"All players in hand choose to run it twice.",2022-06-10T18:17:39.764Z,165488505976401
"""Hasbullah @ 02inrjNc6d"" chooses to  run it twice.",2022-06-10T18:17:39.764Z,165488505976400
"""bhu @ H4tluL-kX1"" chooses to  run it twice.",2022-06-10T18:17:39.088Z,165488505908800
"Remaining players decide whether to run it twice.",2022-06-10T18:17:37.891Z,165488505789101
"""bhu @ H4tluL-kX1"" calls 17.91 and go all in",2022-06-10T18:17:37.891Z,165488505789100
"""Hasbullah @ 02inrjNc6d"" raises to 17.91",2022-06-10T18:17:35.488Z,165488505548800
"""bussell bones @ p1IppBEJj0"" folds",2022-06-10T18:17:31.593Z,165488505159300
"""Jl @ R4jGGpHuT7"" folds",2022-06-10T18:17:29.884Z,165488504988400
"""BScurr @ 2QIXB-ewQE"" folds",2022-06-10T18:17:28.868Z,165488504886800
"""white&nerdy @ pTLo0z6T3g"" folds",2022-06-10T18:17:27.966Z,165488504796600
"""Gyth @ TIRmCvWAZj"" folds",2022-06-10T18:17:22.441Z,165488504244100
"""Mt2500 @ L46HsMGRoN"" folds",2022-06-10T18:17:21.599Z,165488504159900
"""bhu @ H4tluL-kX1"" raises to 7.50",2022-06-10T18:17:20.710Z,165488504071000
"""Hasbullah @ 02inrjNc6d"" raises to 3.25",2022-06-10T18:17:10.842Z,165488503084200
"""bussell bones @ p1IppBEJj0"" calls 0.50",2022-06-10T18:17:05.136Z,165488502513600
