entry,at,order
"The player ""ssstttuuuvvv @ RUjOKEAQ4R"" stand up with the stack of 213.32.",2022-05-07T01:31:16.530Z,165188707653000
"-- ending hand #205 --",2022-05-07T01:31:10.518Z,165188707051803
"""Alvin @ onpa4SJ2rt"" shows a 3♠, 2♦.",2022-05-07T01:31:10.518Z,165188707051802
"""ssstttuuuvvv @ RUjOKEAQ4R"" collected 20.00 from pot with Straight, Q High (combination: Q♥, J♠, 10♥, 9♥, 8♥)",2022-05-07T01:31:10.518Z,165188707051801
"""ssstttuuuvvv @ RUjOKEAQ4R"" shows a 8♥, 10♥.",2022-05-07T01:31:10.518Z,165188707051800
"""Alvin @ onpa4SJ2rt"" checks",2022-05-07T01:31:09.665Z,165188706966500
"""ssstttuuuvvv @ RUjOKEAQ4R"" checks",2022-05-07T01:31:05.068Z,165188706506800
"River: J♠, 10♦, A♣, Q♥ [9♥]",2022-05-07T01:31:03.377Z,165188706337700
"""ssstttuuuvvv @ RUjOKEAQ4R"" calls 5.00",2022-05-07T01:31:02.567Z,165188706256700
"""Alvin @ onpa4SJ2rt"" bets 5.00",2022-05-07T01:31:00.970Z,165188706097000
"""ssstttuuuvvv @ RUjOKEAQ4R"" checks",2022-05-07T01:30:56.655Z,165188705665500
"Turn: J♠, 10♦, A♣ [Q♥]",2022-05-07T01:30:55.564Z,165188705556400
"""ssstttuuuvvv @ RUjOKEAQ4R"" calls 3.00",2022-05-07T01:30:54.719Z,165188705471900
"""Alvin @ onpa4SJ2rt"" bets 3.00",2022-05-07T01:30:53.113Z,165188705311300
"""ssstttuuuvvv @ RUjOKEAQ4R"" checks",2022-05-07T01:30:49.215Z,165188704921500
"Flop:  [J♠, 10♦, A♣]",2022-05-07T01:30:47.301Z,165188704730100
"""ssstttuuuvvv @ RUjOKEAQ4R"" calls 2.00",2022-05-07T01:30:46.494Z,165188704649400
"""Alvin @ onpa4SJ2rt"" raises to 2.00",2022-05-07T01:30:44.941Z,165188704494100
"""ssstttuuuvvv @ RUjOKEAQ4R"" posts a big blind of 1.00",2022-05-07T01:30:43.554Z,165188704355405
"""Alvin @ onpa4SJ2rt"" posts a small blind of 0.50",2022-05-07T01:30:43.554Z,165188704355404
"Player stacks: #1 ""Alvin @ onpa4SJ2rt"" (107.50) | #4 ""ssstttuuuvvv @ RUjOKEAQ4R"" (203.32)",2022-05-07T01:30:43.554Z,165188704355401
"-- starting hand #205  (No Limit Texas Hold'em) (dealer: ""Alvin @ onpa4SJ2rt"") --",2022-05-07T01:30:43.554Z,165188704355400
"""ssstttuuuvvv @ RUjOKEAQ4R"" shows a 2♥, Q♦.",2022-05-07T01:30:40.335Z,165188704033500
"-- ending hand #204 --",2022-05-07T01:30:39.893Z,165188703989302
"""Alvin @ onpa4SJ2rt"" collected 2.00 from pot",2022-05-07T01:30:39.893Z,165188703989301
"Uncalled bet of 1.50 returned to ""Alvin @ onpa4SJ2rt""",2022-05-07T01:30:39.893Z,165188703989300
"""ssstttuuuvvv @ RUjOKEAQ4R"" folds",2022-05-07T01:30:39.056Z,165188703905600
"""Alvin @ onpa4SJ2rt"" bets 1.50",2022-05-07T01:30:32.963Z,165188703296300
"River: 9♠, 7♣, A♥, 5♣ [A♣]",2022-05-07T01:30:27.409Z,165188702740900
"""ssstttuuuvvv @ RUjOKEAQ4R"" checks",2022-05-07T01:30:26.583Z,165188702658300
"""Alvin @ onpa4SJ2rt"" checks",2022-05-07T01:30:25.035Z,165188702503500
"Turn: 9♠, 7♣, A♥ [5♣]",2022-05-07T01:30:23.887Z,165188702388700
"""ssstttuuuvvv @ RUjOKEAQ4R"" checks",2022-05-07T01:30:23.060Z,165188702306000
"""Alvin @ onpa4SJ2rt"" checks",2022-05-07T01:30:21.528Z,165188702152800
"Flop:  [9♠, 7♣, A♥]",2022-05-07T01:30:20.334Z,165188702033400
"""Alvin @ onpa4SJ2rt"" checks",2022-05-07T01:30:19.501Z,165188701950100
"""ssstttuuuvvv @ RUjOKEAQ4R"" calls 1.00",2022-05-07T01:30:17.747Z,165188701774700
"""Alvin @ onpa4SJ2rt"" posts a big blind of 1.00",2022-05-07T01:30:16.199Z,165188701619905
"""ssstttuuuvvv @ RUjOKEAQ4R"" posts a small blind of 0.50",2022-05-07T01:30:16.199Z,165188701619904
"Player stacks: #1 ""Alvin @ onpa4SJ2rt"" (106.50) | #4 ""ssstttuuuvvv @ RUjOKEAQ4R"" (204.32)",2022-05-07T01:30:16.199Z,165188701619901
"-- starting hand #204  (No Limit Texas Hold'em) (dealer: ""ssstttuuuvvv @ RUjOKEAQ4R"") --",2022-05-07T01:30:16.199Z,165188701619900
"-- ending hand #203 --",2022-05-07T01:30:10.192Z,165188701019202
"""Alvin @ onpa4SJ2rt"" collected 72.00 from pot with Three of a Kind, 9's (combination: 9♦, 9♥, 9♠, A♣, Q♦)",2022-05-07T01:30:10.192Z,165188701019201
"""Alvin @ onpa4SJ2rt"" shows a 9♦, A♣.",2022-05-07T01:30:10.192Z,165188701019200
"""ssstttuuuvvv @ RUjOKEAQ4R"" calls 24.00",2022-05-07T01:30:09.357Z,165188700935700
"""Alvin @ onpa4SJ2rt"" bets 24.00",2022-05-07T01:30:08.272Z,165188700827200
"""ssstttuuuvvv @ RUjOKEAQ4R"" checks",2022-05-07T01:30:05.002Z,165188700500200
"River: 9♥, 7♦, 10♣, Q♦ [9♠]",2022-05-07T01:30:03.869Z,165188700386900
"""Alvin @ onpa4SJ2rt"" checks",2022-05-07T01:30:03.064Z,165188700306400
"""ssstttuuuvvv @ RUjOKEAQ4R"" checks",2022-05-07T01:30:01.859Z,165188700185900
"Turn: 9♥, 7♦, 10♣ [Q♦]",2022-05-07T01:30:00.482Z,165188700048200
"""Alvin @ onpa4SJ2rt"" checks",2022-05-07T01:29:59.609Z,165188699960900
"""ssstttuuuvvv @ RUjOKEAQ4R"" checks",2022-05-07T01:29:57.893Z,165188699789300
"Flop:  [9♥, 7♦, 10♣]",2022-05-07T01:29:56.078Z,165188699607800
"""ssstttuuuvvv @ RUjOKEAQ4R"" calls 12.00",2022-05-07T01:29:55.178Z,165188699517800
"""Alvin @ onpa4SJ2rt"" raises to 12.00",2022-05-07T01:29:53.563Z,165188699356300
"""ssstttuuuvvv @ RUjOKEAQ4R"" raises to 4.00",2022-05-07T01:29:48.588Z,165188698858800
"""Alvin @ onpa4SJ2rt"" raises to 2.00",2022-05-07T01:29:45.401Z,165188698540100
"""ssstttuuuvvv @ RUjOKEAQ4R"" posts a big blind of 1.00",2022-05-07T01:29:44.268Z,165188698426805
"""Alvin @ onpa4SJ2rt"" posts a small blind of 0.50",2022-05-07T01:29:44.268Z,165188698426804
"Player stacks: #1 ""Alvin @ onpa4SJ2rt"" (70.50) | #4 ""ssstttuuuvvv @ RUjOKEAQ4R"" (240.32)",2022-05-07T01:29:44.268Z,165188698426801
"-- starting hand #203  (No Limit Texas Hold'em) (dealer: ""Alvin @ onpa4SJ2rt"") --",2022-05-07T01:29:44.268Z,165188698426800
"-- ending hand #202 --",2022-05-07T01:29:41.267Z,165188698126702
"""Alvin @ onpa4SJ2rt"" collected 12.00 from pot",2022-05-07T01:29:41.267Z,165188698126701
"Uncalled bet of 9.00 returned to ""Alvin @ onpa4SJ2rt""",2022-05-07T01:29:41.267Z,165188698126700
"""ssstttuuuvvv @ RUjOKEAQ4R"" folds",2022-05-07T01:29:40.448Z,165188698044800
"""Alvin @ onpa4SJ2rt"" bets 9.00",2022-05-07T01:29:30.261Z,165188697026100
"River: A♦, 3♠, J♥, 9♣ [10♦]",2022-05-07T01:29:28.052Z,165188696805200
"""ssstttuuuvvv @ RUjOKEAQ4R"" checks",2022-05-07T01:29:27.166Z,165188696716600
"""Alvin @ onpa4SJ2rt"" checks",2022-05-07T01:29:25.574Z,165188696557400
"Turn: A♦, 3♠, J♥ [9♣]",2022-05-07T01:29:24.245Z,165188696424500
"""ssstttuuuvvv @ RUjOKEAQ4R"" calls 3.00",2022-05-07T01:29:23.432Z,165188696343200
"""Alvin @ onpa4SJ2rt"" bets 3.00",2022-05-07T01:29:21.033Z,165188696103300
"Flop:  [A♦, 3♠, J♥]",2022-05-07T01:29:18.444Z,165188695844400
"""ssstttuuuvvv @ RUjOKEAQ4R"" calls 3.00",2022-05-07T01:29:17.628Z,165188695762800
"""Alvin @ onpa4SJ2rt"" raises to 3.00",2022-05-07T01:29:01.938Z,165188694193800
"""ssstttuuuvvv @ RUjOKEAQ4R"" calls 1.00",2022-05-07T01:28:57.157Z,165188693715700
"""Alvin @ onpa4SJ2rt"" posts a big blind of 1.00",2022-05-07T01:28:55.410Z,165188693541005
"""ssstttuuuvvv @ RUjOKEAQ4R"" posts a small blind of 0.50",2022-05-07T01:28:55.410Z,165188693541004
"Player stacks: #1 ""Alvin @ onpa4SJ2rt"" (64.50) | #4 ""ssstttuuuvvv @ RUjOKEAQ4R"" (246.32)",2022-05-07T01:28:55.410Z,165188693541001
"-- starting hand #202  (No Limit Texas Hold'em) (dealer: ""ssstttuuuvvv @ RUjOKEAQ4R"") --",2022-05-07T01:28:55.410Z,165188693541000
"-- ending hand #201 --",2022-05-07T01:28:52.454Z,165188693245402
"""Alvin @ onpa4SJ2rt"" collected 6.00 from pot",2022-05-07T01:28:52.454Z,165188693245401
"Uncalled bet of 4.50 returned to ""Alvin @ onpa4SJ2rt""",2022-05-07T01:28:52.454Z,165188693245400
"""ssstttuuuvvv @ RUjOKEAQ4R"" folds",2022-05-07T01:28:51.628Z,165188693162800
"""Alvin @ onpa4SJ2rt"" bets 4.50",2022-05-07T01:28:49.677Z,165188692967700
"""ssstttuuuvvv @ RUjOKEAQ4R"" checks",2022-05-07T01:28:46.874Z,165188692687400
"Turn: A♦, 4♥, 4♣ [Q♥]",2022-05-07T01:28:44.452Z,165188692445200
"""ssstttuuuvvv @ RUjOKEAQ4R"" calls 1.00",2022-05-07T01:28:43.635Z,165188692363500
"""Alvin @ onpa4SJ2rt"" bets 1.00",2022-05-07T01:28:35.379Z,165188691537900
"""ssstttuuuvvv @ RUjOKEAQ4R"" checks",2022-05-07T01:28:31.899Z,165188691189900
"Flop:  [A♦, 4♥, 4♣]",2022-05-07T01:28:26.441Z,165188690644100
"""ssstttuuuvvv @ RUjOKEAQ4R"" calls 2.00",2022-05-07T01:28:25.592Z,165188690559200
"""Alvin @ onpa4SJ2rt"" raises to 2.00",2022-05-07T01:28:20.966Z,165188690096600
"""ssstttuuuvvv @ RUjOKEAQ4R"" posts a big blind of 1.00",2022-05-07T01:28:18.880Z,165188689888005
"""Alvin @ onpa4SJ2rt"" posts a small blind of 0.50",2022-05-07T01:28:18.880Z,165188689888004
"Player stacks: #1 ""Alvin @ onpa4SJ2rt"" (61.50) | #4 ""ssstttuuuvvv @ RUjOKEAQ4R"" (249.32)",2022-05-07T01:28:18.880Z,165188689888001
"-- starting hand #201  (No Limit Texas Hold'em) (dealer: ""Alvin @ onpa4SJ2rt"") --",2022-05-07T01:28:18.880Z,165188689888000
"-- ending hand #200 --",2022-05-07T01:28:10.826Z,165188689082602
"""ssstttuuuvvv @ RUjOKEAQ4R"" collected 124.66 from pot with Two Pair, J's & 5's on the second run  (combination: J♠, J♥, 5♣, 5♠, 10♦)",2022-05-07T01:28:10.826Z,165188689082601
"""ssstttuuuvvv @ RUjOKEAQ4R"" collected 124.66 from pot with Pair, 5's (combination: 5♣, 5♠, J♠, 10♦, 9♥)",2022-05-07T01:28:10.826Z,165188689082600
"River (second run): 5♠, 9♥, 8♦, 10♦ [J♥]",2022-05-07T01:28:06.819Z,165188688681900
"River: 5♠, 9♥, 8♦, 10♦ [2♠]",2022-05-07T01:28:02.814Z,165188688281400
