entry,at,order
"""bhu @ H4tluL-kX1"" shows a A♣, 2♠.",2022-05-06T21:14:53.008Z,165187169300800
"""Nick @ y9uUFnPwKD"" shows a 8♣, J♦.",2022-05-06T21:14:51.182Z,165187169118200
"""Ziho @ fwCaVcbbYB"" shows a 2♥, K♥.",2022-05-06T21:14:48.585Z,165187168858500
"-- ending hand #101 --",2022-05-06T21:14:46.847Z,165187168684702
"""bhu @ H4tluL-kX1"" collected 3.00 from pot",2022-05-06T21:14:46.847Z,165187168684701
"Uncalled bet of 1.50 returned to ""bhu @ H4tluL-kX1""",2022-05-06T21:14:46.847Z,165187168684700
"""Doug @ tvrmCaYM7M"" folds",2022-05-06T21:14:45.957Z,165187168595700
"""Other Doug @ A1VW1AWy79"" folds",2022-05-06T21:14:45.048Z,165187168504800
"""Nick @ y9uUFnPwKD"" folds",2022-05-06T21:14:44.231Z,165187168423100
"""Alvin @ onpa4SJ2rt"" folds",2022-05-06T21:14:41.829Z,165187168182900
"""Ziho @ fwCaVcbbYB"" folds",2022-05-06T21:14:18.969Z,165187165896900
"""bhu @ H4tluL-kX1"" bets 1.50",2022-05-06T21:14:18.085Z,165187165808500
"""Doug @ tvrmCaYM7M"" checks",2022-05-06T21:14:10.723Z,165187165072300
"""Other Doug @ A1VW1AWy79"" checks",2022-05-06T21:14:09.886Z,165187164988600
"Flop:  [8♠, Q♥, 2♦]",2022-05-06T21:14:07.689Z,165187164768900
"""Doug @ tvrmCaYM7M"" checks",2022-05-06T21:14:06.832Z,165187164683200
"""Other Doug @ A1VW1AWy79"" calls 0.50",2022-05-06T21:14:04.953Z,165187164495300
"""Nick @ y9uUFnPwKD"" calls 0.50",2022-05-06T21:14:03.517Z,165187164351700
"""Alvin @ onpa4SJ2rt"" calls 0.50",2022-05-06T21:13:57.735Z,165187163773500
"""Ziho @ fwCaVcbbYB"" calls 0.50",2022-05-06T21:13:56.521Z,165187163652100
"""Rana @ faMcnLIVXw"" folds",2022-05-06T21:13:55.412Z,165187163541200
"""bhu @ H4tluL-kX1"" calls 0.50",2022-05-06T21:13:54.550Z,165187163455000
"""Doug @ tvrmCaYM7M"" posts a big blind of 0.50",2022-05-06T21:13:52.722Z,165187163272210
"""Other Doug @ A1VW1AWy79"" posts a small blind of 0.25",2022-05-06T21:13:52.722Z,165187163272209
"Your hand is A♣, 2♠",2022-05-06T21:13:52.722Z,165187163272207
