entry,at,order
"The player ""Jack Sparrow @ kzRolrYH6N"" quits the game with a stack of 161.38.",2022-05-12T20:32:00.402Z,165238752040200
"The player ""Jack Sparrow @ kzRolrYH6N"" stand up with the stack of 161.38.",2022-05-12T20:30:11.536Z,165238741153600
"-- ending hand #169 --",2022-05-12T20:30:08.538Z,165238740853802
"""Jack @ xDol4Gk2zP"" collected 0.00 from pot",2022-05-12T20:30:08.538Z,165238740853801
"Uncalled bet of 0.50 returned to ""Jack @ xDol4Gk2zP""",2022-05-12T20:30:08.538Z,165238740853800
"""Jack Sparrow @ kzRolrYH6N"" folds",2022-05-12T20:30:07.720Z,165238740772000
"""shiv @ PNsFUu33VN"" folds",2022-05-12T20:30:06.744Z,165238740674400
"The admin ""shiv @ PNsFUu33VN"" enqueued the game stop on next hand.",2022-05-12T20:30:05.934Z,165238740593400
"""Jack @ xDol4Gk2zP"" posts a big blind of 0.50",2022-05-12T20:30:04.334Z,165238740433407
"Dead Small Blind",2022-05-12T20:30:04.334Z,165238740433406
"Player stacks: #1 ""Jack @ xDol4Gk2zP"" (135.25) | #3 ""shiv @ PNsFUu33VN"" (57.75) | #7 ""Jack Sparrow @ kzRolrYH6N"" (161.38)",2022-05-12T20:30:04.334Z,165238740433402
"-- starting hand #169  (No Limit Texas Hold'em) (dealer: ""Jack Sparrow @ kzRolrYH6N"") --",2022-05-12T20:30:04.334Z,165238740433401
"The player ""Rana @ faMcnLIVXw"" stand up with the stack of 219.66.",2022-05-12T20:30:04.334Z,165238740433400
"-- ending hand #168 --",2022-05-12T20:30:01.414Z,165238740141402
"""Jack @ xDol4Gk2zP"" collected 1.75 from pot",2022-05-12T20:30:01.414Z,165238740141401
"Uncalled bet of 1.50 returned to ""Jack @ xDol4Gk2zP""",2022-05-12T20:30:01.414Z,165238740141400
"""Rana @ faMcnLIVXw"" folds",2022-05-12T20:30:00.592Z,165238740059200
"""shiv @ PNsFUu33VN"" folds",2022-05-12T20:29:58.254Z,165238739825400
"""Jack @ xDol4Gk2zP"" bets 1.50",2022-05-12T20:29:57.376Z,165238739737600
