entry,at,order
"""peter @ 3UUkATWkPe"" posts a big blind of 0.20",2022-05-20T02:06:25.409Z,165301238540907
"""alec @ n2Hmfmb2oT"" posts a small blind of 0.10",2022-05-20T02:06:25.409Z,165301238540906
"Your hand is 6♣, J♥",2022-05-20T02:06:25.409Z,165301238540903
"Player stacks: #6 ""andre @ H4tluL-kX1"" (95.09) | #8 ""alec @ n2Hmfmb2oT"" (137.34) | #9 ""peter @ 3UUkATWkPe"" (26.32)",2022-05-20T02:06:25.409Z,165301238540902
"-- starting hand #218  (No Limit Texas Hold'em) (dealer: ""andre @ H4tluL-kX1"") --",2022-05-20T02:06:25.409Z,165301238540901
"The player ""collin @ mgz2s1XOCB"" quits the game with a stack of 0.00.",2022-05-20T02:06:25.409Z,165301238540900
"-- ending hand #217 --",2022-05-20T02:06:17.395Z,165301237739502
"""andre @ H4tluL-kX1"" collected 40.51 from pot with Three of a Kind, 8's on the second run  (combination: 8♠, 8♥, 8♣, K♠, 9♠)",2022-05-20T02:06:17.395Z,165301237739501
"""andre @ H4tluL-kX1"" collected 40.51 from pot with Full House, 8's over 6's (combination: 8♠, 8♥, 8♣, 6♠, 6♣)",2022-05-20T02:06:17.395Z,165301237739500
"River (second run): K♠, 9♠, 8♣, 3♥ [2♠]",2022-05-20T02:06:13.388Z,165301237338800
"Turn (second run): K♠, 9♠, 8♣ [3♥]",2022-05-20T02:06:09.276Z,165301236927600
"River: K♠, 9♠, 8♣, 6♠ [6♣]",2022-05-20T02:06:05.188Z,165301236518800
"Turn: K♠, 9♠, 8♣ [6♠]",2022-05-20T02:06:01.072Z,165301236107200
"""andre @ H4tluL-kX1"" shows a 8♠, 8♥.",2022-05-20T02:05:56.985Z,165301235698501
"""collin @ mgz2s1XOCB"" shows a A♠, A♣.",2022-05-20T02:05:56.985Z,165301235698500
"All players in hand choose to run it twice.",2022-05-20T02:05:56.070Z,165301235607001
"""collin @ mgz2s1XOCB"" chooses to  run it twice.",2022-05-20T02:05:56.070Z,165301235607000
"""andre @ H4tluL-kX1"" chooses to  run it twice.",2022-05-20T02:05:55.764Z,165301235576400
"Remaining players decide whether to run it twice.",2022-05-20T02:05:54.841Z,165301235484101
"""andre @ H4tluL-kX1"" calls 37.51",2022-05-20T02:05:54.841Z,165301235484100
"""collin @ mgz2s1XOCB"" raises to 37.51 and go all in",2022-05-20T02:05:53.668Z,165301235366800
"""alec @ n2Hmfmb2oT"" folds",2022-05-20T02:05:51.668Z,165301235166800
"""andre @ H4tluL-kX1"" raises to 11.00",2022-05-20T02:05:49.937Z,165301234993700
"""collin @ mgz2s1XOCB"" raises to 4.00",2022-05-20T02:05:42.473Z,165301234247300
"""peter @ 3UUkATWkPe"" folds",2022-05-20T02:05:39.366Z,165301233936600
"""alec @ n2Hmfmb2oT"" bets 2.00",2022-05-20T02:05:36.751Z,165301233675100
"""andre @ H4tluL-kX1"" checks",2022-05-20T02:05:33.700Z,165301233370000
"Flop:  [K♠, 9♠, 8♣]",2022-05-20T02:05:27.563Z,165301232756300
"""alec @ n2Hmfmb2oT"" calls 1.00",2022-05-20T02:05:26.670Z,165301232667000
"""andre @ H4tluL-kX1"" calls 1.00",2022-05-20T02:05:25.672Z,165301232567200
"""collin @ mgz2s1XOCB"" calls 1.00",2022-05-20T02:05:24.504Z,165301232450400
"""peter @ 3UUkATWkPe"" raises to 1.00",2022-05-20T02:05:22.808Z,165301232280800
"""alec @ n2Hmfmb2oT"" posts a big blind of 0.20",2022-05-20T02:05:05.510Z,165301230551007
"""andre @ H4tluL-kX1"" posts a small blind of 0.10",2022-05-20T02:05:05.510Z,165301230551006
"Your hand is 8♠, 8♥",2022-05-20T02:05:05.510Z,165301230551003
"Player stacks: #3 ""collin @ mgz2s1XOCB"" (38.51) | #6 ""andre @ H4tluL-kX1"" (52.58) | #8 ""alec @ n2Hmfmb2oT"" (140.34) | #9 ""peter @ 3UUkATWkPe"" (27.32)",2022-05-20T02:05:05.510Z,165301230551001
"-- starting hand #217  (No Limit Texas Hold'em) (dealer: ""collin @ mgz2s1XOCB"") --",2022-05-20T02:05:05.510Z,165301230551000
"""peter @ 3UUkATWkPe"" shows a 5♦, 5♣.",2022-05-20T02:05:00.178Z,165301230017800
"""alec @ n2Hmfmb2oT"" shows a 6♠, 2♠.",2022-05-20T02:04:59.401Z,165301229940100
"Undealt cards: J♥, 2♣, J♦, 7♥ [Q♣]",2022-05-20T02:04:59.088Z,165301229908800
"-- ending hand #216 --",2022-05-20T02:04:58.194Z,165301229819402
"""peter @ 3UUkATWkPe"" collected 10.00 from pot",2022-05-20T02:04:58.194Z,165301229819401
"Uncalled bet of 17.32 returned to ""peter @ 3UUkATWkPe""",2022-05-20T02:04:58.194Z,165301229819400
"""alec @ n2Hmfmb2oT"" folds",2022-05-20T02:04:57.371Z,165301229737100
"""peter @ 3UUkATWkPe"" bets 17.32 and go all in",2022-05-20T02:04:56.401Z,165301229640100
"""alec @ n2Hmfmb2oT"" checks",2022-05-20T02:04:53.707Z,165301229370700
"Turn: J♥, 2♣, J♦ [7♥]",2022-05-20T02:04:52.404Z,165301229240400
"""alec @ n2Hmfmb2oT"" calls 3.00",2022-05-20T02:04:51.586Z,165301229158600
"""andre @ H4tluL-kX1"" folds",2022-05-20T02:04:50.492Z,165301229049200
"""collin @ mgz2s1XOCB"" folds",2022-05-20T02:04:49.594Z,165301228959400
"""peter @ 3UUkATWkPe"" bets 3.00",2022-05-20T02:04:47.948Z,165301228794800
"""alec @ n2Hmfmb2oT"" checks",2022-05-20T02:04:45.540Z,165301228554000
"""andre @ H4tluL-kX1"" checks",2022-05-20T02:04:43.886Z,165301228388600
"""collin @ mgz2s1XOCB"" checks",2022-05-20T02:04:42.996Z,165301228299600
"Flop:  [J♥, 2♣, J♦]",2022-05-20T02:04:39.177Z,165301227917700
"""andre @ H4tluL-kX1"" calls 1.00",2022-05-20T02:04:38.288Z,165301227828800
"""collin @ mgz2s1XOCB"" calls 1.00",2022-05-20T02:04:37.403Z,165301227740300
"""peter @ 3UUkATWkPe"" calls 1.00",2022-05-20T02:04:36.571Z,165301227657100
"""alec @ n2Hmfmb2oT"" raises to 1.00",2022-05-20T02:04:30.356Z,165301227035600
"""andre @ H4tluL-kX1"" posts a big blind of 0.20",2022-05-20T02:04:25.969Z,165301226596907
"""collin @ mgz2s1XOCB"" posts a small blind of 0.10",2022-05-20T02:04:25.969Z,165301226596906
"Your hand is 3♠, 9♦",2022-05-20T02:04:25.969Z,165301226596903
"Player stacks: #3 ""collin @ mgz2s1XOCB"" (39.51) | #6 ""andre @ H4tluL-kX1"" (53.58) | #8 ""alec @ n2Hmfmb2oT"" (144.34) | #9 ""peter @ 3UUkATWkPe"" (21.32)",2022-05-20T02:04:25.969Z,165301226596901
"-- starting hand #216  (No Limit Texas Hold'em) (dealer: ""peter @ 3UUkATWkPe"") --",2022-05-20T02:04:25.969Z,165301226596900
"""andre @ H4tluL-kX1"" shows a 10♠, 4♦.",2022-05-20T02:04:21.336Z,165301226133600
"-- ending hand #215 --",2022-05-20T02:04:19.456Z,165301225945603
"""peter @ 3UUkATWkPe"" shows a K♦, 8♣.",2022-05-20T02:04:19.456Z,165301225945602
"""collin @ mgz2s1XOCB"" collected 0.80 from pot with A High (combination: A♦, Q♠, 10♦, 9♥, 7♣)",2022-05-20T02:04:19.456Z,165301225945601
"""collin @ mgz2s1XOCB"" shows a A♦, 9♥.",2022-05-20T02:04:19.456Z,165301225945600
"""collin @ mgz2s1XOCB"" checks",2022-05-20T02:04:18.588Z,165301225858800
"""peter @ 3UUkATWkPe"" checks",2022-05-20T02:04:15.237Z,165301225523700
"River: 4♠, Q♠, 10♦, 7♣ [2♦]",2022-05-20T02:04:12.867Z,165301225286700
"""collin @ mgz2s1XOCB"" checks",2022-05-20T02:04:11.981Z,165301225198100
"""peter @ 3UUkATWkPe"" checks",2022-05-20T02:04:11.026Z,165301225102600
"Turn: 4♠, Q♠, 10♦ [7♣]",2022-05-20T02:04:09.459Z,165301224945900
"""collin @ mgz2s1XOCB"" checks",2022-05-20T02:04:08.555Z,165301224855500
"""peter @ 3UUkATWkPe"" checks",2022-05-20T02:04:06.975Z,165301224697500
"Flop:  [4♠, Q♠, 10♦]",2022-05-20T02:04:04.901Z,165301224490100
"""collin @ mgz2s1XOCB"" calls 0.40",2022-05-20T02:04:04.051Z,165301224405100
"""peter @ 3UUkATWkPe"" raises to 0.40",2022-05-20T02:04:01.408Z,165301224140800
"""alec @ n2Hmfmb2oT"" folds",2022-05-20T02:03:57.536Z,165301223753600
"""andre @ H4tluL-kX1"" folds",2022-05-20T02:03:53.436Z,165301223343600
"""collin @ mgz2s1XOCB"" posts a big blind of 0.20",2022-05-20T02:03:52.416Z,165301223241608
"""peter @ 3UUkATWkPe"" posts a small blind of 0.10",2022-05-20T02:03:52.416Z,165301223241607
"Your hand is 10♠, 4♦",2022-05-20T02:03:52.416Z,165301223241604
"Player stacks: #3 ""collin @ mgz2s1XOCB"" (39.11) | #6 ""andre @ H4tluL-kX1"" (53.58) | #8 ""alec @ n2Hmfmb2oT"" (144.34) | #9 ""peter @ 3UUkATWkPe"" (21.72)",2022-05-20T02:03:52.416Z,165301223241602
"-- starting hand #215  (No Limit Texas Hold'em) (dealer: ""alec @ n2Hmfmb2oT"") --",2022-05-20T02:03:52.416Z,165301223241601
"The player ""Shane @ -5-JE09VLG"" quits the game with a stack of 51.25.",2022-05-20T02:03:52.416Z,165301223241600
"Undealt cards: A♣, 6♣, 4♣ [2♥, J♥]",2022-05-20T02:03:47.169Z,165301222716900
"-- ending hand #214 --",2022-05-20T02:03:46.419Z,165301222641902
"""andre @ H4tluL-kX1"" collected 0.70 from pot",2022-05-20T02:03:46.419Z,165301222641901
"Uncalled bet of 0.70 returned to ""andre @ H4tluL-kX1""",2022-05-20T02:03:46.419Z,165301222641900
"""collin @ mgz2s1XOCB"" folds",2022-05-20T02:03:45.593Z,165301222559300
"""peter @ 3UUkATWkPe"" folds",2022-05-20T02:03:42.786Z,165301222278600
"""andre @ H4tluL-kX1"" bets 0.70",2022-05-20T02:03:39.977Z,165301221997700
"""collin @ mgz2s1XOCB"" checks",2022-05-20T02:03:37.707Z,165301221770700
"""peter @ 3UUkATWkPe"" checks",2022-05-20T02:03:32.541Z,165301221254100
"Flop:  [A♣, 6♣, 4♣]",2022-05-20T02:03:30.285Z,165301221028500
"""peter @ 3UUkATWkPe"" checks",2022-05-20T02:03:29.466Z,165301220946600
"""alec @ n2Hmfmb2oT"" folds",2022-05-20T02:03:28.542Z,165301220854200
"""andre @ H4tluL-kX1"" calls 0.20",2022-05-20T02:03:26.333Z,165301220633300
"""collin @ mgz2s1XOCB"" calls 0.20",2022-05-20T02:03:24.680Z,165301220468000
"""Shane @ -5-JE09VLG"" folds",2022-05-20T02:03:16.771Z,165301219677100
"""peter @ 3UUkATWkPe"" posts a big blind of 0.20",2022-05-20T02:03:08.397Z,165301218839708
"""alec @ n2Hmfmb2oT"" posts a small blind of 0.10",2022-05-20T02:03:08.397Z,165301218839707
"Your hand is 4♥, A♦",2022-05-20T02:03:08.397Z,165301218839704
"Player stacks: #1 ""Shane @ -5-JE09VLG"" (51.25) | #3 ""collin @ mgz2s1XOCB"" (39.31) | #6 ""andre @ H4tluL-kX1"" (53.08) | #8 ""alec @ n2Hmfmb2oT"" (144.44) | #9 ""peter @ 3UUkATWkPe"" (21.92)",2022-05-20T02:03:08.397Z,165301218839701
"-- starting hand #214  (No Limit Texas Hold'em) (dealer: ""andre @ H4tluL-kX1"") --",2022-05-20T02:03:08.397Z,165301218839700
"Undealt cards: 9♠, K♥, 5♣ [7♠, 3♠]",2022-05-20T02:03:03.233Z,165301218323300
"-- ending hand #213 --",2022-05-20T02:03:02.467Z,165301218246702
"""Shane @ -5-JE09VLG"" collected 2.10 from pot",2022-05-20T02:03:02.467Z,165301218246701
"Uncalled bet of 2.10 returned to ""Shane @ -5-JE09VLG""",2022-05-20T02:03:02.467Z,165301218246700
"""alec @ n2Hmfmb2oT"" folds",2022-05-20T02:03:01.649Z,165301218164900
"""Shane @ -5-JE09VLG"" bets 2.10",2022-05-20T02:03:00.517Z,165301218051700
"""alec @ n2Hmfmb2oT"" checks",2022-05-20T02:02:55.053Z,165301217505300
"Flop:  [9♠, K♥, 5♣]",2022-05-20T02:02:53.163Z,165301217316300
"""alec @ n2Hmfmb2oT"" calls 1.00",2022-05-20T02:02:52.291Z,165301217229100
"""andre @ H4tluL-kX1"" folds",2022-05-20T02:02:49.126Z,165301216912600
"""collin @ mgz2s1XOCB"" folds",2022-05-20T02:02:45.738Z,165301216573800
"""Shane @ -5-JE09VLG"" raises to 1.00",2022-05-20T02:02:42.370Z,165301216237000
"""peter @ 3UUkATWkPe"" folds",2022-05-20T02:02:33.420Z,165301215342000
"""alec @ n2Hmfmb2oT"" posts a big blind of 0.20",2022-05-20T02:02:31.424Z,165301215142408
"""andre @ H4tluL-kX1"" posts a small blind of 0.10",2022-05-20T02:02:31.424Z,165301215142407
"Your hand is 6♣, A♠",2022-05-20T02:02:31.424Z,165301215142404
