entry,at,order
"""Alvin @ onpa4SJ2rt"" shows a A♣, A♠.",2022-06-09T04:47:25.328Z,165475004532800
"-- ending hand #170 --",2022-06-09T04:47:24.190Z,165475004419002
"""Alvin @ onpa4SJ2rt"" collected 44.50 from pot",2022-06-09T04:47:24.190Z,165475004419001
"Uncalled bet of 34.87 returned to ""Alvin @ onpa4SJ2rt""",2022-06-09T04:47:24.190Z,165475004419000
"""Kahjj @ DqCEfVHYAD"" folds",2022-06-09T04:47:23.312Z,165475004331200
"""Alvin @ onpa4SJ2rt"" bets 34.87",2022-06-09T04:47:21.930Z,165475004193000
"Turn: 7♥, 6♦, 3♥ [K♠]",2022-06-09T04:47:13.278Z,165475003327800
"""Kahjj @ DqCEfVHYAD"" calls 17.25",2022-06-09T04:47:12.442Z,165475003244200
"""Russ @ p1IppBEJj0"" folds",2022-06-09T04:47:07.099Z,165475002709900
"""Alvin @ onpa4SJ2rt"" raises to 17.25",2022-06-09T04:47:01.434Z,165475002143400
"The admin ""HANNIBAL @ fa-XDw6nBi"" enqueued the game stop on next hand.",2022-06-09T04:46:56.789Z,165475001678900
"""epsilon @ n2Hmfmb2oT"" folds",2022-06-09T04:46:54.771Z,165475001477100
"""HANNIBAL @ fa-XDw6nBi"" folds",2022-06-09T04:46:53.457Z,165475001345700
"""Kahjj @ DqCEfVHYAD"" bets 4.50",2022-06-09T04:46:51.794Z,165475001179400
"""Russ @ p1IppBEJj0"" checks",2022-06-09T04:46:48.330Z,165475000833000
"""Alvin @ onpa4SJ2rt"" checks",2022-06-09T04:46:46.981Z,165475000698100
"Flop:  [7♥, 6♦, 3♥]",2022-06-09T04:46:40.761Z,165475000076100
"""Russ @ p1IppBEJj0"" calls 2.00",2022-06-09T04:46:39.888Z,165474999988800
"""Alvin @ onpa4SJ2rt"" calls 2.00",2022-06-09T04:46:38.908Z,165474999890800
"""epsilon @ n2Hmfmb2oT"" calls 2.00",2022-06-09T04:46:38.031Z,165474999803100
"""HANNIBAL @ fa-XDw6nBi"" calls 2.00",2022-06-09T04:46:36.784Z,165474999678400
"""Kahjj @ DqCEfVHYAD"" raises to 2.00",2022-06-09T04:46:32.350Z,165474999235000
"""Russ @ p1IppBEJj0"" posts a big blind of 0.50",2022-06-09T04:46:24.751Z,165474998475109
"""Alvin @ onpa4SJ2rt"" posts a small blind of 0.25",2022-06-09T04:46:24.751Z,165474998475108
"Player stacks: #1 ""Kahjj @ DqCEfVHYAD"" (181.34) | #4 ""HANNIBAL @ fa-XDw6nBi"" (176.56) | #5 ""epsilon @ n2Hmfmb2oT"" (173.75) | #6 ""Alvin @ onpa4SJ2rt"" (115.06) | #8 ""Russ @ p1IppBEJj0"" (101.08)",2022-06-09T04:46:24.751Z,165474998475102
