entry,at,order
"""Nick93000 @ cnfaoS1gm5"" calls 0.50",2022-06-02T04:15:34.225Z,165414333422500
"""Hasbullah @ 02inrjNc6d"" calls 0.50",2022-06-02T04:15:33.239Z,165414333323900
"""HANNIBAL @ fa-XDw6nBi"" posts a big blind of 0.50",2022-06-02T04:15:30.654Z,165414333065411
"""aj @ _ajpIiGLbJ"" posts a small blind of 0.25",2022-06-02T04:15:30.654Z,165414333065410
"Player stacks: #1 ""HANNIBAL @ fa-XDw6nBi"" (79.07) | #2 ""Hasbullah @ 02inrjNc6d"" (70.06) | #3 ""Nick93000 @ cnfaoS1gm5"" (54.00) | #4 ""Agnimandur @ c1wMGCUKiO"" (213.00) | #5 ""peppy @ 3UUkATWkPe"" (31.21) | #6 ""grape @ z_wQF-Oyb4"" (105.21) | #7 ""N8 @ EgGN9nMUKx"" (9.76) | #10 ""aj @ _ajpIiGLbJ"" (49.00)",2022-06-02T04:15:30.654Z,165414333065401
"-- starting hand #166  (No Limit Texas Hold'em) (dealer: ""N8 @ EgGN9nMUKx"") --",2022-06-02T04:15:30.654Z,165414333065400
"-- ending hand #165 --",2022-06-02T04:15:24.622Z,165414332462202
"""peppy @ 3UUkATWkPe"" collected 3.50 from pot",2022-06-02T04:15:24.622Z,165414332462201
"Uncalled bet of 2.62 returned to ""peppy @ 3UUkATWkPe""",2022-06-02T04:15:24.622Z,165414332462200
"""N8 @ EgGN9nMUKx"" folds",2022-06-02T04:15:23.711Z,165414332371100
"""peppy @ 3UUkATWkPe"" bets 2.62",2022-06-02T04:15:22.713Z,165414332271300
"""N8 @ EgGN9nMUKx"" checks",2022-06-02T04:15:19.627Z,165414331962700
"Turn: A♣, 7♥, 8♥ [Q♦]",2022-06-02T04:15:18.104Z,165414331810400
"""peppy @ 3UUkATWkPe"" checks",2022-06-02T04:15:17.230Z,165414331723000
"""N8 @ EgGN9nMUKx"" checks",2022-06-02T04:15:16.261Z,165414331626100
"Flop:  [A♣, 7♥, 8♥]",2022-06-02T04:15:14.415Z,165414331441500
"""aj @ _ajpIiGLbJ"" folds",2022-06-02T04:15:13.563Z,165414331356300
"""N8 @ EgGN9nMUKx"" calls 1.50",2022-06-02T04:15:12.662Z,165414331266200
"""grape @ z_wQF-Oyb4"" folds",2022-06-02T04:15:11.563Z,165414331156300
"""peppy @ 3UUkATWkPe"" raises to 1.50",2022-06-02T04:15:10.644Z,165414331064400
"""Agnimandur @ c1wMGCUKiO"" folds",2022-06-02T04:15:07.357Z,165414330735700
"""Nick93000 @ cnfaoS1gm5"" folds",2022-06-02T04:15:03.184Z,165414330318400
"""Hasbullah @ 02inrjNc6d"" folds",2022-06-02T04:14:59.438Z,165414329943800
"""HANNIBAL @ fa-XDw6nBi"" folds",2022-06-02T04:14:58.097Z,165414329809700
"""aj @ _ajpIiGLbJ"" posts a big blind of 0.50",2022-06-02T04:14:56.082Z,165414329608211
"""N8 @ EgGN9nMUKx"" posts a small blind of 0.25",2022-06-02T04:14:56.082Z,165414329608210
"Player stacks: #1 ""HANNIBAL @ fa-XDw6nBi"" (79.07) | #2 ""Hasbullah @ 02inrjNc6d"" (70.06) | #3 ""Nick93000 @ cnfaoS1gm5"" (54.00) | #4 ""Agnimandur @ c1wMGCUKiO"" (213.00) | #5 ""peppy @ 3UUkATWkPe"" (29.21) | #6 ""grape @ z_wQF-Oyb4"" (105.21) | #7 ""N8 @ EgGN9nMUKx"" (11.26) | #10 ""aj @ _ajpIiGLbJ"" (49.50)",2022-06-02T04:14:56.082Z,165414329608201
"-- starting hand #165  (No Limit Texas Hold'em) (dealer: ""grape @ z_wQF-Oyb4"") --",2022-06-02T04:14:56.082Z,165414329608200
"-- ending hand #164 --",2022-06-02T04:14:50.069Z,165414329006902
"""N8 @ EgGN9nMUKx"" collected 11.26 from pot with Pair, A's (combination: A♥, A♠, Q♥, 10♣, 9♦)",2022-06-02T04:14:50.069Z,165414329006901
"""peppy @ 3UUkATWkPe"" collected 11.25 from pot with Pair, A's (combination: A♦, A♠, Q♥, 10♣, 9♦)",2022-06-02T04:14:50.069Z,165414329006900
"River: A♠, 2♣, 10♣, 9♦ [Q♥]",2022-06-02T04:14:45.990Z,165414328599000
"Turn: A♠, 2♣, 10♣ [9♦]",2022-06-02T04:14:41.978Z,165414328197800
"""N8 @ EgGN9nMUKx"" shows a A♥, 3♦.",2022-06-02T04:14:37.869Z,165414327786901
"""peppy @ 3UUkATWkPe"" shows a 8♦, A♦.",2022-06-02T04:14:37.869Z,165414327786900
"Some players choose to not run it twice.",2022-06-02T04:14:37.057Z,165414327705701
"""N8 @ EgGN9nMUKx"" chooses to not run it twice.",2022-06-02T04:14:37.057Z,165414327705700
"Remaining players decide whether to run it twice.",2022-06-02T04:14:35.672Z,165414327567201
"""peppy @ 3UUkATWkPe"" calls 8.88",2022-06-02T04:14:35.672Z,165414327567200
"""Agnimandur @ c1wMGCUKiO"" folds",2022-06-02T04:14:34.522Z,165414327452200
"""N8 @ EgGN9nMUKx"" bets 8.88 and go all in",2022-06-02T04:14:32.601Z,165414327260100
"Flop:  [A♠, 2♣, 10♣]",2022-06-02T04:14:28.463Z,165414326846300
"""N8 @ EgGN9nMUKx"" calls 1.50",2022-06-02T04:14:27.625Z,165414326762500
"""grape @ z_wQF-Oyb4"" folds",2022-06-02T04:14:26.668Z,165414326666800
"""peppy @ 3UUkATWkPe"" calls 1.50",2022-06-02T04:14:24.727Z,165414326472700
"""Agnimandur @ c1wMGCUKiO"" raises to 1.50",2022-06-02T04:14:19.862Z,165414325986200
"""Nick93000 @ cnfaoS1gm5"" folds",2022-06-02T04:14:14.232Z,165414325423200
"""Hasbullah @ 02inrjNc6d"" folds",2022-06-02T04:14:13.347Z,165414325334700
"""HANNIBAL @ fa-XDw6nBi"" folds",2022-06-02T04:14:12.330Z,165414325233000
"""aj @ _ajpIiGLbJ"" folds",2022-06-02T04:14:11.285Z,165414325128500
"""N8 @ EgGN9nMUKx"" posts a big blind of 0.50",2022-06-02T04:14:08.961Z,165414324896111
"""grape @ z_wQF-Oyb4"" posts a small blind of 0.25",2022-06-02T04:14:08.961Z,165414324896110
"Player stacks: #1 ""HANNIBAL @ fa-XDw6nBi"" (79.07) | #2 ""Hasbullah @ 02inrjNc6d"" (70.06) | #3 ""Nick93000 @ cnfaoS1gm5"" (54.00) | #4 ""Agnimandur @ c1wMGCUKiO"" (214.50) | #5 ""peppy @ 3UUkATWkPe"" (28.34) | #6 ""grape @ z_wQF-Oyb4"" (105.46) | #7 ""N8 @ EgGN9nMUKx"" (10.38) | #10 ""aj @ _ajpIiGLbJ"" (49.50)",2022-06-02T04:14:08.961Z,165414324896101
"-- starting hand #164  (No Limit Texas Hold'em) (dealer: ""peppy @ 3UUkATWkPe"") --",2022-06-02T04:14:08.961Z,165414324896100
"-- ending hand #163 --",2022-06-02T04:14:05.961Z,165414324596102
"""grape @ z_wQF-Oyb4"" collected 52.49 from pot",2022-06-02T04:14:05.961Z,165414324596101
"Uncalled bet of 10.38 returned to ""grape @ z_wQF-Oyb4""",2022-06-02T04:14:05.961Z,165414324596100
"""N8 @ EgGN9nMUKx"" folds",2022-06-02T04:14:05.129Z,165414324512900
"""grape @ z_wQF-Oyb4"" raises to 32.38",2022-06-02T04:13:42.224Z,165414322222400
"""N8 @ EgGN9nMUKx"" raises to 22.00",2022-06-02T04:13:34.622Z,165414321462200
"""grape @ z_wQF-Oyb4"" bets 4.24",2022-06-02T04:13:28.793Z,165414320879300
"River: 6♥, 7♣, 4♣, 2♥ [Q♥]",2022-06-02T04:13:22.032Z,165414320203200
"""N8 @ EgGN9nMUKx"" checks",2022-06-02T04:13:21.179Z,165414320117900
"""grape @ z_wQF-Oyb4"" checks",2022-06-02T04:13:20.260Z,165414320026000
"Turn: 6♥, 7♣, 4♣ [2♥]",2022-06-02T04:13:18.542Z,165414319854200
"""grape @ z_wQF-Oyb4"" calls 2.12",2022-06-02T04:13:17.717Z,165414319771700
"""N8 @ EgGN9nMUKx"" bets 2.12",2022-06-02T04:13:15.867Z,165414319586700
"""grape @ z_wQF-Oyb4"" checks",2022-06-02T04:13:12.965Z,165414319296500
"Flop:  [6♥, 7♣, 4♣]",2022-06-02T04:13:10.919Z,165414319091900
"""grape @ z_wQF-Oyb4"" calls 2.00",2022-06-02T04:13:10.109Z,165414319010900
"""peppy @ 3UUkATWkPe"" folds",2022-06-02T04:13:08.684Z,165414318868400
"""Agnimandur @ c1wMGCUKiO"" folds",2022-06-02T04:13:07.766Z,165414318776600
"""Nick93000 @ cnfaoS1gm5"" folds",2022-06-02T04:13:06.745Z,165414318674500
"""Hasbullah @ 02inrjNc6d"" folds",2022-06-02T04:13:05.866Z,165414318586600
"""HANNIBAL @ fa-XDw6nBi"" folds",2022-06-02T04:13:02.068Z,165414318206800
"""aj @ _ajpIiGLbJ"" folds",2022-06-02T04:13:01.185Z,165414318118500
"""N8 @ EgGN9nMUKx"" raises to 2.00",2022-06-02T04:12:55.084Z,165414317508400
"""grape @ z_wQF-Oyb4"" posts a big blind of 0.50",2022-06-02T04:12:51.294Z,165414317129412
"""peppy @ 3UUkATWkPe"" posts a small blind of 0.25",2022-06-02T04:12:51.294Z,165414317129411
"Player stacks: #1 ""HANNIBAL @ fa-XDw6nBi"" (79.07) | #2 ""Hasbullah @ 02inrjNc6d"" (70.06) | #3 ""Nick93000 @ cnfaoS1gm5"" (54.00) | #4 ""Agnimandur @ c1wMGCUKiO"" (214.50) | #5 ""peppy @ 3UUkATWkPe"" (28.59) | #6 ""grape @ z_wQF-Oyb4"" (79.09) | #7 ""N8 @ EgGN9nMUKx"" (36.50) | #10 ""aj @ _ajpIiGLbJ"" (49.50)",2022-06-02T04:12:51.294Z,165414317129402
"-- starting hand #163  (No Limit Texas Hold'em) (dealer: ""Agnimandur @ c1wMGCUKiO"") --",2022-06-02T04:12:51.294Z,165414317129401
"The admin updated the player ""Agnimandur @ c1wMGCUKiO"" stack from 214.00 to 214.50.",2022-06-02T04:12:51.294Z,165414317129400
"-- ending hand #162 --",2022-06-02T04:12:45.209Z,165414316520902
"""N8 @ EgGN9nMUKx"" collected 10.49 from pot with Two Pair, A's & 6's (combination: A♣, A♦, 6♦, 6♥, K♥)",2022-06-02T04:12:45.209Z,165414316520901
"""N8 @ EgGN9nMUKx"" shows a 6♦, 6♥.",2022-06-02T04:12:45.209Z,165414316520900
"""Hasbullah @ 02inrjNc6d"" checks",2022-06-02T04:12:44.330Z,165414316433000
"""N8 @ EgGN9nMUKx"" checks",2022-06-02T04:12:42.517Z,165414316251700
"River: A♣, K♥, 5♠, 8♦ [A♦]",2022-06-02T04:12:40.608Z,165414316060800
"""Hasbullah @ 02inrjNc6d"" checks",2022-06-02T04:12:39.784Z,165414315978400
"""N8 @ EgGN9nMUKx"" checks",2022-06-02T04:12:37.788Z,165414315778800
"Turn: A♣, K♥, 5♠ [8♦]",2022-06-02T04:12:36.602Z,165414315660200
"""N8 @ EgGN9nMUKx"" calls 2.87",2022-06-02T04:12:35.701Z,165414315570100
"""Hasbullah @ 02inrjNc6d"" bets 2.87",2022-06-02T04:12:34.335Z,165414315433500
"WARNING: the admin queued the stack change for the player ""Agnimandur @ c1wMGCUKiO"" adding 0.50 chips in the next hand.",2022-06-02T04:12:32.930Z,165414315293000
"""N8 @ EgGN9nMUKx"" checks",2022-06-02T04:12:23.997Z,165414314399700
"Flop:  [A♣, K♥, 5♠]",2022-06-02T04:12:21.471Z,165414314147100
"""peppy @ 3UUkATWkPe"" folds",2022-06-02T04:12:20.630Z,165414314063000
