entry,at,order
"""collin @ mgz2s1XOCB"" folds",2022-05-17T04:24:15.953Z,165276145595300
"""andre @ H4tluL-kX1"" posts a big blind of 0.10",2022-05-17T04:20:28.379Z,165276122837906
"""peter @ 3UUkATWkPe"" posts a small blind of 0.05",2022-05-17T04:20:28.379Z,165276122837905
"Your hand is 7♠, 10♦",2022-05-17T04:20:28.379Z,165276122837903
"Player stacks: #2 ""peter @ 3UUkATWkPe"" (57.20) | #8 ""andre @ H4tluL-kX1"" (104.61) | #10 ""collin @ mgz2s1XOCB"" (48.19)",2022-05-17T04:20:28.379Z,165276122837901
"-- starting hand #208  (No Limit Texas Hold'em) (dealer: ""collin @ mgz2s1XOCB"") --",2022-05-17T04:20:28.379Z,165276122837900
"""collin @ mgz2s1XOCB"" shows a 3♥, 6♥.",2022-05-17T04:20:23.604Z,165276122360400
"""peter @ 3UUkATWkPe"" shows a 8♠, Q♣.",2022-05-17T04:20:22.793Z,165276122279300
"""andre @ H4tluL-kX1"" shows a 3♦, 10♣.",2022-05-17T04:20:22.168Z,165276122216800
"Undealt cards: 7♠, 3♠, 9♠ [8♣, Q♦]",2022-05-17T04:20:21.754Z,165276122175400
"-- ending hand #207 --",2022-05-17T04:20:20.773Z,165276122077302
"""andre @ H4tluL-kX1"" collected 6.00 from pot",2022-05-17T04:20:20.773Z,165276122077301
"Uncalled bet of 3.00 returned to ""andre @ H4tluL-kX1""",2022-05-17T04:20:20.773Z,165276122077300
"""peter @ 3UUkATWkPe"" folds",2022-05-17T04:20:19.942Z,165276121994200
"""collin @ mgz2s1XOCB"" folds",2022-05-17T04:20:15.955Z,165276121595500
"""andre @ H4tluL-kX1"" bets 3.00",2022-05-17T04:19:59.162Z,165276119916200
"""peter @ 3UUkATWkPe"" checks",2022-05-17T04:19:54.862Z,165276119486200
"""collin @ mgz2s1XOCB"" checks",2022-05-17T04:19:53.909Z,165276119390900
"Flop:  [7♠, 3♠, 9♠]",2022-05-17T04:19:48.816Z,165276118881600
"""peter @ 3UUkATWkPe"" calls 2.00",2022-05-17T04:19:47.957Z,165276118795700
"""collin @ mgz2s1XOCB"" calls 2.00",2022-05-17T04:19:46.714Z,165276118671400
"""andre @ H4tluL-kX1"" raises to 2.00",2022-05-17T04:19:36.690Z,165276117669000
"""peter @ 3UUkATWkPe"" posts a big blind of 0.10",2022-05-17T04:19:33.714Z,165276117371406
"""collin @ mgz2s1XOCB"" posts a small blind of 0.05",2022-05-17T04:19:33.714Z,165276117371405
"Your hand is 3♦, 10♣",2022-05-17T04:19:33.714Z,165276117371403
"Player stacks: #2 ""peter @ 3UUkATWkPe"" (59.20) | #8 ""andre @ H4tluL-kX1"" (100.61) | #10 ""collin @ mgz2s1XOCB"" (50.19)",2022-05-17T04:19:33.714Z,165276117371401
"-- starting hand #207  (No Limit Texas Hold'em) (dealer: ""andre @ H4tluL-kX1"") --",2022-05-17T04:19:33.714Z,165276117371400
"""peter @ 3UUkATWkPe"" shows a 10♦, 3♦.",2022-05-17T04:19:28.603Z,165276116860300
"-- ending hand #206 --",2022-05-17T04:19:27.117Z,165276116711703
"""andre @ H4tluL-kX1"" shows a 4♦, K♥.",2022-05-17T04:19:27.117Z,165276116711702
"""collin @ mgz2s1XOCB"" collected 10.30 from pot with Straight, 10 High (combination: 10♣, 9♥, 8♣, 7♣, 6♣)",2022-05-17T04:19:27.117Z,165276116711701
"""collin @ mgz2s1XOCB"" shows a 9♥, 2♥.",2022-05-17T04:19:27.117Z,165276116711700
"""collin @ mgz2s1XOCB"" checks",2022-05-17T04:19:26.291Z,165276116629100
"""andre @ H4tluL-kX1"" checks",2022-05-17T04:19:22.126Z,165276116212600
"River: 10♣, 7♣, 8♣, 6♣ [5♥]",2022-05-17T04:19:20.011Z,165276116001100
"""peter @ 3UUkATWkPe"" folds",2022-05-17T04:19:19.152Z,165276115915200
"""collin @ mgz2s1XOCB"" calls 2.00",2022-05-17T04:19:18.236Z,165276115823600
"""andre @ H4tluL-kX1"" bets 2.00",2022-05-17T04:19:16.717Z,165276115671700
"Turn: 10♣, 7♣, 8♣ [6♣]",2022-05-17T04:19:11.898Z,165276115189800
"""collin @ mgz2s1XOCB"" calls 0.10",2022-05-17T04:19:11.028Z,165276115102800
"""andre @ H4tluL-kX1"" calls 0.10",2022-05-17T04:19:10.116Z,165276115011600
"""peter @ 3UUkATWkPe"" bets 0.10",2022-05-17T04:19:08.962Z,165276114896200
"""collin @ mgz2s1XOCB"" checks",2022-05-17T04:19:07.031Z,165276114703100
"""andre @ H4tluL-kX1"" checks",2022-05-17T04:19:05.756Z,165276114575600
"Flop:  [10♣, 7♣, 8♣]",2022-05-17T04:19:01.899Z,165276114189900
"""collin @ mgz2s1XOCB"" calls 2.00",2022-05-17T04:19:01.086Z,165276114108600
"""andre @ H4tluL-kX1"" calls 2.00",2022-05-17T04:19:00.035Z,165276114003500
"""peter @ 3UUkATWkPe"" raises to 2.00",2022-05-17T04:18:59.158Z,165276113915800
"""collin @ mgz2s1XOCB"" posts a big blind of 0.10",2022-05-17T04:18:51.286Z,165276113128606
"""andre @ H4tluL-kX1"" posts a small blind of 0.05",2022-05-17T04:18:51.286Z,165276113128605
"Your hand is 4♦, K♥",2022-05-17T04:18:51.286Z,165276113128603
"Player stacks: #2 ""peter @ 3UUkATWkPe"" (61.30) | #8 ""andre @ H4tluL-kX1"" (104.71) | #10 ""collin @ mgz2s1XOCB"" (43.99)",2022-05-17T04:18:51.286Z,165276113128601
"-- starting hand #206  (No Limit Texas Hold'em) (dealer: ""peter @ 3UUkATWkPe"") --",2022-05-17T04:18:51.286Z,165276113128600
"""peter @ 3UUkATWkPe"" shows a Q♦, 10♦.",2022-05-17T04:18:46.081Z,165276112608100
"Undealt cards: 4♠, K♦, J♣ [5♦, 7♦]",2022-05-17T04:18:44.885Z,165276112488500
"""andre @ H4tluL-kX1"" shows a 5♣, 2♦.",2022-05-17T04:18:44.264Z,165276112426400
"-- ending hand #205 --",2022-05-17T04:18:43.950Z,165276112395002
"""peter @ 3UUkATWkPe"" collected 0.20 from pot",2022-05-17T04:18:43.950Z,165276112395001
"Uncalled bet of 0.10 returned to ""peter @ 3UUkATWkPe""",2022-05-17T04:18:43.950Z,165276112395000
"""andre @ H4tluL-kX1"" folds",2022-05-17T04:18:43.127Z,165276112312700
"""peter @ 3UUkATWkPe"" bets 0.10",2022-05-17T04:18:42.192Z,165276112219200
