entry,at,order
"""hannibalk @ fa-XDw6nBi"" posts a big blind of 0.20",2022-05-29T05:33:47.544Z,165380242754408
"""andre @ H4tluL-kX1"" posts a small blind of 0.10",2022-05-29T05:33:47.544Z,165380242754407
"Your hand is A♣, 7♣",2022-05-29T05:33:47.544Z,165380242754406
"Player stacks: #1 ""hannibalk @ fa-XDw6nBi"" (110.30) | #6 ""peter @ 3UUkATWkPe"" (28.75) | #7 ""alec @ n2Hmfmb2oT"" (27.91) | #8 ""collin @ mgz2s1XOCB"" (41.52) | #9 ""andre @ H4tluL-kX1"" (51.22)",2022-05-29T05:33:47.544Z,165380242754401
"-- starting hand #164  (No Limit Texas Hold'em) (dealer: ""collin @ mgz2s1XOCB"") --",2022-05-29T05:33:47.544Z,165380242754400
"""andre @ H4tluL-kX1"" shows a 6♦, 8♥.",2022-05-29T05:33:44.130Z,165380242413000
"-- ending hand #163 --",2022-05-29T05:33:43.868Z,165380242386802
"""hannibalk @ fa-XDw6nBi"" collected 44.00 from pot",2022-05-29T05:33:43.868Z,165380242386801
"Uncalled bet of 51.22 returned to ""hannibalk @ fa-XDw6nBi""",2022-05-29T05:33:43.868Z,165380242386800
"""andre @ H4tluL-kX1"" folds",2022-05-29T05:33:43.010Z,165380242301000
"""hannibalk @ fa-XDw6nBi"" bets 51.22",2022-05-29T05:33:06.049Z,165380238604900
"""andre @ H4tluL-kX1"" checks",2022-05-29T05:33:02.542Z,165380238254200
"River: 10♦, 6♣, 8♣, A♥ [4♣]",2022-05-29T05:32:59.848Z,165380237984800
"""andre @ H4tluL-kX1"" calls 11.00",2022-05-29T05:32:59.006Z,165380237900600
"""hannibalk @ fa-XDw6nBi"" bets 11.00",2022-05-29T05:32:49.439Z,165380236943900
"""andre @ H4tluL-kX1"" checks",2022-05-29T05:32:44.794Z,165380236479400
"Turn: 10♦, 6♣, 8♣ [A♥]",2022-05-29T05:32:40.109Z,165380236010900
"""andre @ H4tluL-kX1"" calls 8.50",2022-05-29T05:32:39.243Z,165380235924300
"""collin @ mgz2s1XOCB"" folds",2022-05-29T05:32:37.710Z,165380235771000
"""alec @ n2Hmfmb2oT"" folds",2022-05-29T05:32:36.247Z,165380235624700
"""peter @ 3UUkATWkPe"" folds",2022-05-29T05:32:35.380Z,165380235538000
"""hannibalk @ fa-XDw6nBi"" raises to 8.50",2022-05-29T05:32:34.475Z,165380235447500
"""andre @ H4tluL-kX1"" bets 2.50",2022-05-29T05:32:30.674Z,165380235067400
"""collin @ mgz2s1XOCB"" checks",2022-05-29T05:32:26.759Z,165380234675900
"Flop:  [10♦, 6♣, 8♣]",2022-05-29T05:32:22.899Z,165380234289900
"""hannibalk @ fa-XDw6nBi"" calls 1.00",2022-05-29T05:32:22.037Z,165380234203700
"""andre @ H4tluL-kX1"" calls 1.00",2022-05-29T05:32:21.121Z,165380234112100
"""collin @ mgz2s1XOCB"" calls 1.00",2022-05-29T05:32:20.223Z,165380234022300
"""alec @ n2Hmfmb2oT"" calls 1.00",2022-05-29T05:32:18.672Z,165380233867200
"""peter @ 3UUkATWkPe"" raises to 1.00",2022-05-29T05:32:17.584Z,165380233758400
"""hannibalk @ fa-XDw6nBi"" posts a straddle of 0.40",2022-05-29T05:32:13.696Z,165380233369609
"""andre @ H4tluL-kX1"" posts a big blind of 0.20",2022-05-29T05:32:13.696Z,165380233369608
"""collin @ mgz2s1XOCB"" posts a small blind of 0.10",2022-05-29T05:32:13.696Z,165380233369607
"Your hand is 6♦, 8♥",2022-05-29T05:32:13.696Z,165380233369606
