entry,at,order
"The player ""white&nerdy @ pTLo0z6T3g"" stand up with the stack of 45.58.",2022-05-24T04:47:33.219Z,165336765321901
"The player ""bhu @ H4tluL-kX1"" stand up with the stack of 20.18.",2022-05-24T04:47:33.219Z,165336765321900
"The admin ""Gythron @ TIRmCvWAZj"" enqueued the game stop on next hand.",2022-05-24T04:47:32.974Z,165336765297400
"-- ending hand #139 --",2022-05-24T04:47:30.295Z,165336765029502
"""Gythron @ TIRmCvWAZj"" collected 8.00 from pot",2022-05-24T04:47:30.295Z,165336765029501
"Uncalled bet of 6.00 returned to ""Gythron @ TIRmCvWAZj""",2022-05-24T04:47:30.295Z,165336765029500
"""Lofty @ 7ZqHgUr-OF"" folds",2022-05-24T04:47:29.418Z,165336764941800
"""Gythron @ TIRmCvWAZj"" bets 6.00",2022-05-24T04:47:26.989Z,165336764698900
"River: A♠, 2♠, 5♥, 8♥ [3♦]",2022-05-24T04:47:20.179Z,165336764017900
"""white&nerdy @ pTLo0z6T3g"" folds",2022-05-24T04:47:19.342Z,165336763934200
"""bhu @ H4tluL-kX1"" folds",2022-05-24T04:47:15.106Z,165336763510600
"""Lofty @ 7ZqHgUr-OF"" calls 2.00",2022-05-24T04:47:14.240Z,165336763424000
"""Gythron @ TIRmCvWAZj"" bets 2.00",2022-05-24T04:47:09.038Z,165336762903800
"Turn: A♠, 2♠, 5♥ [8♥]",2022-05-24T04:47:05.284Z,165336762528400
"""white&nerdy @ pTLo0z6T3g"" checks",2022-05-24T04:47:04.443Z,165336762444300
"""bhu @ H4tluL-kX1"" checks",2022-05-24T04:47:01.233Z,165336762123300
"""Lofty @ 7ZqHgUr-OF"" checks",2022-05-24T04:46:53.701Z,165336761370100
"""Gythron @ TIRmCvWAZj"" checks",2022-05-24T04:46:52.664Z,165336761266400
"Flop:  [A♠, 2♠, 5♥]",2022-05-24T04:46:48.955Z,165336760895500
"""Lofty @ 7ZqHgUr-OF"" calls 1.00",2022-05-24T04:46:48.116Z,165336760811600
"""Gythron @ TIRmCvWAZj"" calls 1.00",2022-05-24T04:46:47.045Z,165336760704500
"""white&nerdy @ pTLo0z6T3g"" calls 1.00",2022-05-24T04:46:45.156Z,165336760515600
"""bhu @ H4tluL-kX1"" raises to 1.00",2022-05-24T04:46:43.810Z,165336760381000
"""Lofty @ 7ZqHgUr-OF"" posts a big blind of 0.20",2022-05-24T04:46:39.519Z,165336759951912
"""Gythron @ TIRmCvWAZj"" posts a small blind of 0.10",2022-05-24T04:46:39.519Z,165336759951911
"Your hand is 2♦, 9♥",2022-05-24T04:46:39.519Z,165336759951909
"Player stacks: #1 ""Gythron @ TIRmCvWAZj"" (62.59) | #3 ""Lofty @ 7ZqHgUr-OF"" (45.90) | #4 ""bhu @ H4tluL-kX1"" (21.18) | #7 ""white&nerdy @ pTLo0z6T3g"" (46.58)",2022-05-24T04:46:39.519Z,165336759951906
