entry,at,order
"The player ""OC @ fenA10lfmW"" quits the game with a stack of 0.00.",2022-05-12T10:32:52.881Z,165235157288100
"-- ending hand #768 --",2022-05-12T10:32:46.873Z,165235156687301
"""Brad @ QeS_JBwahW"" collected 188.00 from pot with Three of a Kind, 5's (combination: 5♦, 5♠, 5♣, Q♠, 10♥)",2022-05-12T10:32:46.873Z,165235156687300
"River: 2♣, 5♠, 5♣, Q♠ [10♥]",2022-05-12T10:32:42.871Z,165235156287100
"Turn: 2♣, 5♠, 5♣ [Q♠]",2022-05-12T10:32:38.747Z,165235155874700
"Flop:  [2♣, 5♠, 5♣]",2022-05-12T10:32:34.738Z,165235155473800
"""Brad @ QeS_JBwahW"" shows a 4♦, 5♦.",2022-05-12T10:32:30.730Z,165235155073001
"""OC @ fenA10lfmW"" shows a J♣, J♦.",2022-05-12T10:32:30.730Z,165235155073000
"Some players choose to not run it twice.",2022-05-12T10:32:29.905Z,165235154990501
"""Brad @ QeS_JBwahW"" chooses to not run it twice.",2022-05-12T10:32:29.905Z,165235154990500
"Remaining players decide whether to run it twice.",2022-05-12T10:32:29.844Z,165235154984401
"""Brad @ QeS_JBwahW"" calls 94.00",2022-05-12T10:32:29.844Z,165235154984400
"""OC @ fenA10lfmW"" raises to 94.00 and go all in",2022-05-12T10:32:18.149Z,165235153814900
"""Brad @ QeS_JBwahW"" posts a big blind of 1.00",2022-05-12T10:32:14.865Z,165235153486505
"""OC @ fenA10lfmW"" posts a small blind of 0.50",2022-05-12T10:32:14.865Z,165235153486504
"Player stacks: #1 ""OC @ fenA10lfmW"" (94.00) | #3 ""Brad @ QeS_JBwahW"" (106.00)",2022-05-12T10:32:14.865Z,165235153486501
"-- starting hand #768  (No Limit Texas Hold'em) (dealer: ""OC @ fenA10lfmW"") --",2022-05-12T10:32:14.865Z,165235153486500
"-- ending hand #767 --",2022-05-12T10:32:11.903Z,165235153190302
"""Brad @ QeS_JBwahW"" collected 2.00 from pot",2022-05-12T10:32:11.903Z,165235153190301
"Uncalled bet of 3.00 returned to ""Brad @ QeS_JBwahW""",2022-05-12T10:32:11.903Z,165235153190300
"""OC @ fenA10lfmW"" folds",2022-05-12T10:32:11.039Z,165235153103900
"""Brad @ QeS_JBwahW"" raises to 4.00",2022-05-12T10:32:10.025Z,165235153002500
"""OC @ fenA10lfmW"" posts a big blind of 1.00",2022-05-12T10:32:05.426Z,165235152542605
"""Brad @ QeS_JBwahW"" posts a small blind of 0.50",2022-05-12T10:32:05.426Z,165235152542604
"Player stacks: #1 ""OC @ fenA10lfmW"" (95.00) | #3 ""Brad @ QeS_JBwahW"" (105.00)",2022-05-12T10:32:05.426Z,165235152542601
"-- starting hand #767  (No Limit Texas Hold'em) (dealer: ""Brad @ QeS_JBwahW"") --",2022-05-12T10:32:05.426Z,165235152542600
"-- ending hand #766 --",2022-05-12T10:32:02.420Z,165235152242002
"""Brad @ QeS_JBwahW"" collected 2.00 from pot",2022-05-12T10:32:02.420Z,165235152242001
"Uncalled bet of 4.00 returned to ""Brad @ QeS_JBwahW""",2022-05-12T10:32:02.420Z,165235152242000
"""OC @ fenA10lfmW"" folds",2022-05-12T10:32:01.560Z,165235152156000
"""Brad @ QeS_JBwahW"" raises to 5.00",2022-05-12T10:32:00.036Z,165235152003600
"""OC @ fenA10lfmW"" calls 1.00",2022-05-12T10:31:56.442Z,165235151644200
"""Brad @ QeS_JBwahW"" posts a big blind of 1.00",2022-05-12T10:31:55.215Z,165235151521505
"""OC @ fenA10lfmW"" posts a small blind of 0.50",2022-05-12T10:31:55.215Z,165235151521504
"Player stacks: #1 ""OC @ fenA10lfmW"" (96.00) | #3 ""Brad @ QeS_JBwahW"" (104.00)",2022-05-12T10:31:55.215Z,165235151521501
"-- starting hand #766  (No Limit Texas Hold'em) (dealer: ""OC @ fenA10lfmW"") --",2022-05-12T10:31:55.215Z,165235151521500
"""Brad @ QeS_JBwahW"" shows a 5♠, Q♣.",2022-05-12T10:31:52.895Z,165235151289500
"""OC @ fenA10lfmW"" shows a 8♦, A♦.",2022-05-12T10:31:51.093Z,165235151109300
"-- ending hand #765 --",2022-05-12T10:31:50.810Z,165235151081002
"""OC @ fenA10lfmW"" collected 2.00 from pot",2022-05-12T10:31:50.810Z,165235151081001
"Uncalled bet of 1.00 returned to ""OC @ fenA10lfmW""",2022-05-12T10:31:50.810Z,165235151081000
"""Brad @ QeS_JBwahW"" folds",2022-05-12T10:31:49.995Z,165235150999500
"""OC @ fenA10lfmW"" bets 1.00",2022-05-12T10:31:48.755Z,165235150875500
"Flop:  [6♦, K♦, 9♥]",2022-05-12T10:31:47.689Z,165235150768900
"""OC @ fenA10lfmW"" checks",2022-05-12T10:31:46.838Z,165235150683800
"""Brad @ QeS_JBwahW"" calls 1.00",2022-05-12T10:31:43.944Z,165235150394400
"""OC @ fenA10lfmW"" posts a big blind of 1.00",2022-05-12T10:31:40.083Z,165235150008305
"""Brad @ QeS_JBwahW"" posts a small blind of 0.50",2022-05-12T10:31:40.083Z,165235150008304
"Player stacks: #1 ""OC @ fenA10lfmW"" (95.00) | #3 ""Brad @ QeS_JBwahW"" (105.00)",2022-05-12T10:31:40.083Z,165235150008301
"-- starting hand #765  (No Limit Texas Hold'em) (dealer: ""Brad @ QeS_JBwahW"") --",2022-05-12T10:31:40.083Z,165235150008300
"-- ending hand #764 --",2022-05-12T10:31:34.080Z,165235149408003
