entry,at,order
"The player ""Xxx @ QeS_JBwahW"" stand up with the stack of 20.72.",2022-05-24T22:34:53.811Z,165343169381100
"""Neo @ MUprnlf7Tm"" shows a 3♥, 10♦.",2022-05-24T22:34:51.324Z,165343169132400
"-- ending hand #166 --",2022-05-24T22:34:50.077Z,165343169007702
"""bhu @ H4tluL-kX1"" collected 1.25 from pot",2022-05-24T22:34:50.077Z,165343169007701
"Uncalled bet of 1.50 returned to ""bhu @ H4tluL-kX1""",2022-05-24T22:34:50.077Z,165343169007700
"""yahurd @ ZiyHQ22YAr"" folds",2022-05-24T22:34:49.236Z,165343168923600
"""Neo @ MUprnlf7Tm"" folds",2022-05-24T22:34:48.273Z,165343168827300
"""bhu @ H4tluL-kX1"" raises to 2.00",2022-05-24T22:34:47.022Z,165343168702200
"""Jack Sparrow @ KrLLkQxyHW"" folds",2022-05-24T22:34:44.440Z,165343168444000
"""Xxx @ QeS_JBwahW"" folds",2022-05-24T22:34:43.555Z,165343168355500
"The admin ""Jack Sparrow @ KrLLkQxyHW"" enqueued the game stop on next hand.",2022-05-24T22:34:36.942Z,165343167694200
"""yahurd @ ZiyHQ22YAr"" posts a big blind of 0.50",2022-05-24T22:34:29.198Z,165343166919808
"""Neo @ MUprnlf7Tm"" posts a small blind of 0.25",2022-05-24T22:34:29.198Z,165343166919807
"Your hand is Q♥, A♦",2022-05-24T22:34:29.198Z,165343166919802
"Player stacks: #1 ""bhu @ H4tluL-kX1"" (88.72) | #3 ""Neo @ MUprnlf7Tm"" (86.68) | #6 ""yahurd @ ZiyHQ22YAr"" (280.52) | #8 ""Xxx @ QeS_JBwahW"" (20.72) | #9 ""Jack Sparrow @ KrLLkQxyHW"" (74.24)",2022-05-24T22:34:29.198Z,165343166919801
"-- starting hand #166  (No Limit Texas Hold'em) (dealer: ""bhu @ H4tluL-kX1"") --",2022-05-24T22:34:29.198Z,165343166919800
"-- ending hand #165 --",2022-05-24T22:34:26.198Z,165343166619802
"""Jack Sparrow @ KrLLkQxyHW"" collected 37.00 from pot",2022-05-24T22:34:26.198Z,165343166619801
"Uncalled bet of 20.72 returned to ""Jack Sparrow @ KrLLkQxyHW""",2022-05-24T22:34:26.198Z,165343166619800
"""Xxx @ QeS_JBwahW"" folds",2022-05-24T22:34:25.391Z,165343166539100
"""Jack Sparrow @ KrLLkQxyHW"" bets 20.72",2022-05-24T22:34:24.443Z,165343166444300
"""Xxx @ QeS_JBwahW"" checks",2022-05-24T22:34:21.813Z,165343166181300
"River: 8♦, K♦, 9♥, J♥ [J♦]",2022-05-24T22:34:20.255Z,165343166025500
"""Xxx @ QeS_JBwahW"" calls 10.00",2022-05-24T22:34:19.429Z,165343165942900
"""yahurd @ ZiyHQ22YAr"" folds",2022-05-24T22:34:18.021Z,165343165802100
"""Jack Sparrow @ KrLLkQxyHW"" bets 10.00",2022-05-24T22:34:15.852Z,165343165585200
"""Xxx @ QeS_JBwahW"" checks",2022-05-24T22:34:04.312Z,165343164431200
"""yahurd @ ZiyHQ22YAr"" checks",2022-05-24T22:34:02.852Z,165343164285200
"Turn: 8♦, K♦, 9♥ [J♥]",2022-05-24T22:34:00.756Z,165343164075600
"""Neo @ MUprnlf7Tm"" folds",2022-05-24T22:33:59.854Z,165343163985400
"""Jack Sparrow @ KrLLkQxyHW"" calls 3.25",2022-05-24T22:33:58.847Z,165343163884700
"""Xxx @ QeS_JBwahW"" calls 3.25",2022-05-24T22:33:56.742Z,165343163674200
