entry,at,order
"The admin ""Gythron @ TIRmCvWAZj"" rejected the seat request from the player ""not ROOKIE zzz @ Phg2dnK4qu"".",2022-05-27T05:13:37.388Z,165362841738800
"The player ""not ROOKIE zzz @ Phg2dnK4qu"" requested a seat.",2022-05-27T05:09:28.532Z,165362816853200
"The player ""tin @ UEwQfUYCuU"" quits the game with a stack of 0.00.",2022-05-27T05:06:45.696Z,165362800569600
"-- ending hand #68 --",2022-05-27T05:06:37.690Z,165362799769004
"""bhu @ H4tluL-kX1"" collected 25.66 from pot with Three of a Kind on the second run  (combination: 2♥, 2♣, 2♦, Q♥, 10♦)",2022-05-27T05:06:37.690Z,165362799769003
"""bhu @ H4tluL-kX1"" collected 25.66 from pot with Full House (combination: 2♥, 2♣, 2♦, Q♥, Q♠)",2022-05-27T05:06:37.690Z,165362799769002
"""bhu @ H4tluL-kX1"" collected 36.00 from pot with Three of a Kind on the second run  (combination: 2♥, 2♣, 2♦, Q♥, 10♦)",2022-05-27T05:06:37.690Z,165362799769001
"""bhu @ H4tluL-kX1"" collected 36.00 from pot with Full House (combination: 2♥, 2♣, 2♦, Q♥, Q♠)",2022-05-27T05:06:37.690Z,165362799769000
"River (second run): 2♦, 6♠, Q♥, 7♦ [10♦]",2022-05-27T05:06:33.684Z,165362799368400
"Turn (second run): 2♦, 6♠, Q♥ [7♦]",2022-05-27T05:06:29.620Z,165362798962000
"River: 2♦, 6♠, Q♥, 5♦ [Q♠]",2022-05-27T05:06:25.589Z,165362798558900
"Turn: 2♦, 6♠, Q♥ [5♦]",2022-05-27T05:06:21.480Z,165362798148000
"""bhu @ H4tluL-kX1"" shows a 2♥, J♥, A♦, 2♣.",2022-05-27T05:06:17.373Z,165362797737302
"""Lofty @ 7ZqHgUr-OF"" shows a A♥, 10♠, 2♠, K♠.",2022-05-27T05:06:17.373Z,165362797737301
"""tin @ UEwQfUYCuU"" shows a 4♥, Q♦, 9♥, K♣.",2022-05-27T05:06:17.373Z,165362797737300
"All players in hand choose to run it twice.",2022-05-27T05:06:16.493Z,165362797649301
"""tin @ UEwQfUYCuU"" chooses to  run it twice.",2022-05-27T05:06:16.493Z,165362797649300
"""Lofty @ 7ZqHgUr-OF"" chooses to  run it twice.",2022-05-27T05:06:15.943Z,165362797594300
"""bhu @ H4tluL-kX1"" chooses to  run it twice.",2022-05-27T05:06:15.720Z,165362797572000
"Remaining players decide whether to run it twice.",2022-05-27T05:06:14.722Z,165362797472201
"""bhu @ H4tluL-kX1"" calls 43.66 and go all in",2022-05-27T05:06:14.722Z,165362797472200
"""Lofty @ 7ZqHgUr-OF"" raises to 43.66",2022-05-27T05:06:04.665Z,165362796466500
"""tin @ UEwQfUYCuU"" calls 18.00 and go all in",2022-05-27T05:05:59.939Z,165362795993900
"""ForesterMike @ uaTX1DrwsW"" folds",2022-05-27T05:05:57.497Z,165362795749700
"""bhu @ H4tluL-kX1"" raises to 19.00",2022-05-27T05:05:36.195Z,165362793619500
"""Lofty @ 7ZqHgUr-OF"" calls 4.00",2022-05-27T05:05:25.332Z,165362792533200
"The admin ""Gythron @ TIRmCvWAZj"" enqueued the game stop on next hand.",2022-05-27T05:05:24.675Z,165362792467500
"""tin @ UEwQfUYCuU"" calls 4.00",2022-05-27T05:05:24.241Z,165362792424100
"""HANNIBAL @ fa-XDw6nBi"" folds",2022-05-27T05:05:22.662Z,165362792266200
"""white&nerdy @ pTLo0z6T3g"" folds",2022-05-27T05:05:19.372Z,165362791937200
"""Gythron @ TIRmCvWAZj"" folds",2022-05-27T05:05:18.518Z,165362791851800
"""ForesterMike @ uaTX1DrwsW"" bets 4.00",2022-05-27T05:05:07.675Z,165362790767500
"""bhu @ H4tluL-kX1"" checks",2022-05-27T05:04:57.219Z,165362789721900
